sample,origin,clone,subclone,subclone2,trans_site,rope,loc_grtn,age,age2,grtn,loc,bw_in,bw_fin,bw_chg,len_in,len_fin,len_chg,avg_len_chg,len_ct
291,M2,Orange,CN_W147,V9,M2,R_194,home_late,4y,4,late,home,2.5,4.46,1.96,6.17,7.39,1.22,,0.2
290,M2,Orange,CN_W147,V9,M2,R_197,home_late,4y,4,late,home,2.47,5.01,2.54,5.42,8.6,3.18,2.2,0.59
289,M2,Orange,CN_W073,V6,M2,R_193,home_early,7y,7,early,home,2.95,4.8,1.85,7.47,9.46,1.99,,0.27
288,M2,Orange,CN_W073,V6,M2,R_200,home_early,7y,7,early,home,1.5,1.56,0.06,4.88,4.1,-0.78,0.605,-0.16
287,M2,Pink,CN_R069,V2,M2,R_194,home_early,5y,5,early,home,1.73,2.56,0.83,4.31,5.38,1.07,,0.25
286,M2,Pink,CN_R069,V2,M2,R_195,home_early,5y,5,early,home,1.47,1.92,0.45,3.03,3.45,0.42,0.745,0.14
285,M2,Pink,CN_R048,V28,M2,R_194,home_early,5y,5,early,home,3.8,5.5,1.7,6.35,8.6,2.25,,0.35
284,M2,Pink,CN_R048,V28,M2,R_193,home_early,5y,5,early,home,1.54,3.06,1.52,4.29,6.13,1.84,2.045,0.43
283,M2,Red,CN_R096,V4,M2,R_197,home_late,4y,4,late,home,3.6,6.73,3.13,5.6,7.79,2.19,,0.39
282,M2,Red,CN_R096,V4,M2,R_199,home_late,4y,4,late,home,3.76,4.02,0.26,7.47,6.33,-1.14,0.525,-0.15
281,M2,Brown,CN_60,V13,M2,R_192,home_early,7y,7,early,home,1.25,1.63,0.38,3.58,4.37,0.79,,0.22
280,M2,Brown,CN_60,V13,M2,R_200,home_early,7y,7,early,home,1.25,2.72,1.47,6,5.31,-0.69,0.05,-0.12
279,M2,Red,CN_B6,V10,M2,R_196,home_late,3y,3,late,home,2.37,3.58,1.21,5.07,6.22,1.15,,0.23
278,M2,Red,CN_B6,V10,M2,R_192,home_late,3y,3,late,home,2.33,2.36,0.03,6.28,4.53,-1.75,-0.3,-0.28
277,M2,Purple,CN_B1,V5,M2,R_199,home_late,3y,3,late,home,1.54,2.4,0.86,4.16,4.81,0.65,,0.16
276,M2,Purple,CN_B1,V5,M2,R_195,home_late,3y,3,late,home,2.57,2.73,0.16,6.03,6.62,0.59,0.62,0.1
275,M2,Purple,CN_203,V26,M2,R_192,home_early,7y,7,early,home,1.54,1.65,0.11,3.41,2.47,-0.94,,-0.28
274,M2,Purple,CN_203,V26,M2,R_200,home_early,7y,7,early,home,2.69,2.82,0.13,5.6,3.27,-2.33,-1.635,-0.42
273,M2,Pink,CN_R049,V14,M2,R_196,home_early,5y,5,early,home,1.18,1.86,0.68,4.05,4.23,0.18,0.18,0.04
